iter	Passed	Remaining
406	6937	35675
407	6955	35664
408	6973	35653
409	6992	35646
410	7009	35628
411	7027	35615
412	7044	35598
413	7062	35585
414	7078	35562
415	7093	35537
416	7109	35513
417	7127	35498
418	7142	35475
419	7158	35452
420	7176	35441
421	7193	35424
422	7212	35415
423	7229	35399
424	7243	35364
425	7258	35337
426	7275	35321
427	7293	35306
428	7309	35284
429	7325	35264
430	7341	35244
431	7357	35222
432	7372	35194
433	7387	35166
434	7404	35151
435	7422	35138
436	7438	35115
437	7456	35101
438	7475	35094
439	7492	35078
440	7507	35050
441	7525	35040
442	7540	35015
443	7558	35002
444	7574	34976
445	7589	34953
446	7604	34927
447	7620	34904
448	7637	34886
449	7653	34864
450	7667	34835
451	7683	34815
452	7700	34797
453	7718	34786
454	7734	34762
455	7747	34730
456	7766	34720
457	7781	34695
458	7798	34675
459	7816	34662
460	7834	34653
461	7852	34640
462	7868	34617
463	7885	34600
464	7901	34581
465	7918	34563
466	7937	34553
467	7955	34539
468	7972	34524
469	7989	34505
470	8004	34482
471	8022	34469
472	8036	34438
473	8051	34415
474	8066	34389
475	8083	34373
476	8097	34341
477	8114	34326
478	8131	34310
479	8149	34296
480	8167	34282
481	8182	34258
482	8198	34238
483	8216	34222
484	8231	34199
485	8250	34190
486	8269	34182
487	8286	34165
488	8303	34147
489	8318	34121
490	8337	34114
491	8353	34094
492	8369	34073
493	8385	34049
494	8403	34039
495	8419	34018
496	8433	33988
497	8449	33968
498	8464	33944
499	8481	33925
500	8499	33913
501	8514	33886
502	8532	33874
503	8548	33854
504	8566	33840
505	8580	33814
506	8597	33796
507	8613	33773
508	8632	33768
509	8647	33743
510	8664	33725
511	8679	33701
512	8695	33680
513	8708	33648
514	8723	33624
515	8741	33609
516	8756	33587
517	8772	33567
518	8788	33543
519	8802	33518
520	8819	33501
521	8838	33490
522	8855	33476
523	8874	33464
524	8888	33438
525	8907	33427
526	8924	33410
527	8941	33395
528	8957	33375
529	8972	33352
530	8988	33330
531	9006	33318
532	9021	33294
533	9037	33273
534	9053	33253
535	9071	33238
536	9086	33215
537	9104	33201
538	9121	33185
539	9135	33159
540	9150	33134
541	9167	33116
542	9184	33102
543	9202	33089
544	9219	33071
545	9233	33044
546	9248	33021
547	9266	33007
548	9284	32993
549	9302	32981
550	9318	32962
551	9336	32949
552	9352	32928
553	9367	32904
554	9385	32892
555	9400	32869
556	9420	32862
557	9439	32850
558	9455	32833
559	9471	32812
560	9489	32798
561	9504	32776
562	9521	32757
563	9536	32736
564	9550	32709
565	9564	32682
566	9579	32658
567	9595	32638
568	9612	32621
569	9626	32596
570	9642	32575
571	9660	32561
